Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
1644364800,2022-02-09 00:00:00,BCH/USD,336.01,336.70,335.64,336.65,172.38353630,58032.917495395
1644278400,2022-02-08 00:00:00,BCH/USD,344.06,355.99,325.66,335.95,10242.50631101,3440969.995183809
1644192000,2022-02-07 00:00:00,BCH/USD,325.72,344.00,318.72,342.35,4500.17848106,1540636.102990891
1644105600,2022-02-06 00:00:00,BCH/USD,321.17,328.31,311.61,325.00,2321.42773575,754464.01411875
1644019200,2022-02-05 00:00:00,BCH/USD,305.94,328.97,303.00,320.54,3782.18030972,1212340.076477649
1643932800,2022-02-04 00:00:00,BCH/USD,281.16,307.36,276.94,306.12,3984.05088407,1219597.6566315084
1643846400,2022-02-03 00:00:00,BCH/USD,277.95,281.32,271.19,281.23,4355.44380212,1224881.4604702077
1643760000,2022-02-02 00:00:00,BCH/USD,288.60,296.77,276.76,278.30,3174.66294962,883508.698879246
1643673600,2022-02-01 00:00:00,BCH/USD,284.46,291.12,283.21,288.36,3655.71266912,1054161.3052674432
1643587200,2022-01-31 00:00:00,BCH/USD,290.17,290.32,278.21,285.55,6012.63136777,1716906.8870667235
1643500800,2022-01-30 00:00:00,BCH/USD,298.23,302.55,287.83,290.38,4016.24246569,1166236.4871870622
1643414400,2022-01-29 00:00:00,BCH/USD,296.84,302.02,291.95,298.65,3185.58559124,951375.136823826
1643328000,2022-01-28 00:00:00,BCH/USD,289.56,297.18,282.53,297.04,4919.68447153,1461343.0754232714
1643241600,2022-01-27 00:00:00,BCH/USD,289.08,294.12,278.00,289.48,6808.41986420,1970901.3822886162
1643155200,2022-01-26 00:00:00,BCH/USD,290.35,315.03,284.55,288.98,4618.88310753,1334764.8404140195
1643068800,2022-01-25 00:00:00,BCH/USD,292.19,294.56,283.70,291.84,4510.33577411,1316296.3923162622
1642982400,2022-01-24 00:00:00,BCH/USD,301.71,301.71,259.85,292.31,11272.58332700,3295088.83231537
1642896000,2022-01-23 00:00:00,BCH/USD,291.20,303.19,284.22,302.41,7210.84043645,2180630.256386845
1642809600,2022-01-22 00:00:00,BCH/USD,316.10,318.27,266.35,291.74,14614.92360975,4263757.813908465
1642723200,2022-01-21 00:00:00,BCH/USD,357.54,359.76,308.36,315.20,7980.82685976,2515556.626196352
1642636800,2022-01-20 00:00:00,BCH/USD,369.13,384.33,356.56,357.63,3062.07457775,1095089.7312407326
1642550400,2022-01-19 00:00:00,BCH/USD,381.08,384.30,366.00,369.08,4708.34784799,1737757.0237361493
1642464000,2022-01-18 00:00:00,BCH/USD,381.10,398.70,375.11,381.61,5749.95736005,2194241.2281686803
1642377600,2022-01-17 00:00:00,BCH/USD,388.58,389.04,373.50,380.83,2395.32808770,912212.795638791
1642291200,2022-01-16 00:00:00,BCH/USD,390.98,393.37,382.71,388.50,1592.32110410,618616.74894285
1642204800,2022-01-15 00:00:00,BCH/USD,385.45,393.12,383.36,391.46,1870.51412831,732231.4606682325
1642118400,2022-01-14 00:00:00,BCH/USD,378.05,393.29,376.49,385.68,3811.78170236,1470127.9669662048
1642032000,2022-01-13 00:00:00,BCH/USD,383.82,391.36,376.73,376.83,3056.47698013,1151772.2204223878
1641945600,2022-01-12 00:00:00,BCH/USD,370.91,385.92,368.12,383.96,3966.83157983,1523104.6533915268
1641859200,2022-01-11 00:00:00,BCH/USD,363.53,374.72,361.82,369.24,4777.72687468,1764127.8712068433
1641772800,2022-01-10 00:00:00,BCH/USD,376.81,378.58,347.75,363.93,5861.82609539,2133294.370895283
1641686400,2022-01-09 00:00:00,BCH/USD,372.87,381.07,368.30,376.76,4206.75890464,1584938.4849121664
1641600000,2022-01-08 00:00:00,BCH/USD,386.68,391.26,361.70,373.81,4630.80419339,1731040.915531116
1641513600,2022-01-07 00:00:00,BCH/USD,400.00,401.21,376.00,385.57,6307.55452852,2432003.7995614563
1641427200,2022-01-06 00:00:00,BCH/USD,399.86,402.74,387.71,400.33,7793.55633449,3119994.4073863816
1641340800,2022-01-05 00:00:00,BCH/USD,427.91,431.34,390.66,401.00,4352.38101749,1745304.78801349
1641254400,2022-01-04 00:00:00,BCH/USD,435.32,439.05,425.41,426.95,3574.97311723,1526334.7724013485
1641168000,2022-01-03 00:00:00,BCH/USD,447.57,447.70,431.68,434.12,3478.86062587,1510242.9749026846
1641081600,2022-01-02 00:00:00,BCH/USD,444.93,452.01,443.42,447.98,2958.77559965,1325472.293131207
1640995200,2022-01-01 00:00:00,BCH/USD,431.39,445.93,431.39,444.98,1714.46603653,762903.0969351195
1640908800,2021-12-31 00:00:00,BCH/USD,431.36,437.17,419.85,430.43,6098.57148749,2625008.125360321
1640822400,2021-12-30 00:00:00,BCH/USD,428.98,437.32,423.83,431.87,3639.52169539,1571800.2345880792
