Task;start;end
Research Proposal;11-Oct-21;20-Dec-21
Literature Review - Reading and Writing;11-Oct-21;31-Jan-22
Planning Methods and Write Methods Chapter;11-Oct-21;20-Dec-21
Data Collection;20-Dec-21;04-Jan-22
Exploaratory Data Analysis;04-Jan-22;17-Jan-22
Modelling and Coding;17-Jan-22;31-Jan-22
Visualise Results;24-Jan-22;31-Jan-22
Write Results Chapter;31-Jan-22;14-Feb-22
Write Discussion Chapter;14-Feb-22;28-Feb-22
Write Introduction and Conclusion;28-Feb-22;07-Mar-22
Exam;07-Mar-22;14-Mar-22
Major Editing;14-Mar-22;21-Mar-22
Final Proof Reading;21-Mar-22;28-Mar-22
Submit;21-Mar-22;28-Mar-22
